URL,Size,OutLinks,Type
https://www.yahoo.com/news/trump-muellers-russia-probe-makes-joseph-mccarthy-look-like-baby-143255285.html,343156,75,text/html
https://www.yahoo.com/news/hawaii-braces-hurricane-lane-slideshow-wp-132337193.html,389914,64,text/html
https://www.yahoo.com/news/trump-rallies-base-base-rallies-192951014.html,367927,81,text/html
https://www.yahoo.com/news/trump-explains-theory-mass-communication-231926796.html,331819,70,text/html
https://www.yahoo.com/news/trump-returns-foreign-trip-familiar-role-tweeter-chief-164642174.html,347137,81,text/html
https://www.yahoo.com/news/gianforte-wins-montana-special-house-election-despite-charged-assault-044756860.html,355068,68,text/html
https://www.yahoo.com/news/isis-linked-group-under-heavy-slideshow-wp-174240825.html,370720,65,text/html
https://www.yahoo.com/news/9-11-then-now-17-slideshow-wp-160432455.html,387656,68,text/html
https://www.yahoo.com/news/amazing-drone-photos-abandoned-bikes-slideshow-wp-184518716.html,349939,65,text/html
https://www.yahoo.com/news/shooting-santa-fe-high-school-slideshow-wp-144743671.html,399599,66,text/html
https://www.yahoo.com/news/barbara-bush-life-pictures-slideshow-wp-234920935.html,393451,65,text/html
https://www.yahoo.com/news/nature-takes-over-abandoned-america-slideshow-wp-185028787.html,340067,64,text/html
https://www.yahoo.com/news/century-old-sunken-ship-preserved-slideshow-wp-103919425.html,336518,64,text/html
https://www.yahoo.com/news/flooding-threatens-carolinas-florence-downgraded-slideshow-wp-174729546.html,398573,65,text/html
https://www.yahoo.com/news/joe-lieberman-5-things-know-trumps-possible-pick-fbi-director-203533034.html,332217,67,text/html
https://www.yahoo.com/news/trump-escaping-chaos-washington-turmoil-abroad-022124410.html,377541,74,text/html
https://www.yahoo.com/news/trump-escaping-chaos-washington-turmoil-abroad-022124410.html?soc_src=social-sh&soc_trk=tw,377995,75,text/html
https://www.yahoo.com/news/pences-role-loyal-soldier-risks-long-term-damage-230950937.html,345913,69,text/html
https://www.yahoo.com/news/john-kasich-finishing-tour-just-getting-started-090047215.html,391003,75,text/html
https://www.yahoo.com/news/trump-birther-obama-clinton-2011-193543592.html,335485,66,text/html
https://www.yahoo.com/news/deadly-blast-ariana-grande-concert-slideshow-wp-023132392/photo-p-worker-bee-adorns-side-photo-143032695.html,403846,67,text/html
https://www.yahoo.com/news/chinese-government-doesnt-involved-huaweis-business-german-boss-091322834--finance.html,320976,62,text/html
https://www.yahoo.com/news/asia-stocks-slightly-eyes-u-china-talks-fed-010144869.html,328524,60,text/html
https://www.yahoo.com/news/merciless-sympathy-113057010.html,327746,60,text/html
https://www.yahoo.com/news/zealand-plans-tax-giants-google-051901337.html,322554,64,text/html
https://www.yahoo.com/news/10-best-running-shoes-women-160437042/photo-p-strong-hoka-one-one-photo-175909052.html,340341,67,text/html
https://www.yahoo.com/news/van-hits-pedestrians-london-bridge-slideshow-wp-222638231/photo-p-youssef-zaghba-khuram-shazad-photo-160038440.html,401470,67,text/html
https://www.yahoo.com/news/trump-order-address-separations-no-clear-answers-happens-children-shelters-now-214127748.html,353849,73,text/html
https://www.yahoo.com/news/protesters-throng-trump-inauguration-route-and-face-off-with-police-203753068.html,363218,111,text/html
https://www.yahoo.com/news/trump-visits-cia-blames-tensions-with-intelligence-community-on-the-media-213121618.html,341569,72,text/html
https://www.yahoo.com/news/arizona-democrat-kyrsten-sinema-runs-hard-middle-defying-party-will-work-154711147.html,432537,118,text/html
https://www.yahoo.com/news/texas-senate-race-parties-door-7-4-million-181757547.html,373625,77,text/html
https://www.yahoo.com/news/battle-soccer-mom-vote-plays-suburban-detroit-210630798.html,360421,79,text/html
https://www.yahoo.com/news/blockchain-voting-risky-cybersecurity-expert-says-090048096.html,339046,79,text/html
https://www.yahoo.com/news/trump-issues-stunning-claim-that-millions-voted-illegally-205918708.html,354010,75,text/html
https://www.yahoo.com/news/trump-isnt-first-president-politicize-census-090057231.html,365988,80,text/html
https://www.yahoo.com/news/others-march-teens-shoot-targets-013605594.html,385073,71,text/html
https://www.yahoo.com/news/advocates-fear-ice-targeting-immigrants-speak-233115266.html,422202,89,text/html
https://www.yahoo.com/news/ken-starr-justice-department-evaluate-stormy-daniels-claims-121441045.html,353499,84,text/html
https://www.yahoo.com/news/chappaquiddick-tragedy-changed-course-american-slideshow-wp-112102728.html,379938,66,text/html
https://www.yahoo.com/news/states-saying-no-white-houses-requests-voter-information-184740877.html,365492,97,text/html
https://www.yahoo.com/news/live-march-lives-demonstrations-washington-d-c-around-world-172638537.html,319817,61,text/html
https://www.yahoo.com/news/students-across-u-s-stage-national-walkout-month-parkland-massacre-155816275.html,363118,78,text/html
https://www.yahoo.com/news/parkland-survivor-emma-gonzalez-holds-powerful-6-minutes-silence-march-lives-194147797.html,330270,67,text/html
https://www.yahoo.com/news/mlks-granddaughter-yolanda-renee-king-shares-dream-gun-free-world-period-184809258.html,346267,72,text/html
https://www.yahoo.com/news/ahead-march-lives-d-c-teens-speak-gun-violence-see-every-day-171120598.html,336776,71,text/html
https://www.yahoo.com/news/charlottesville-remembers-heather-heyer-her-slideshow-wp-202325817/photo-p-members-charlottesville-community-gather-photo-202325246.html,375091,70,text/html
https://www.yahoo.com/news/charlottesville-remembers-heather-heyer-her-slideshow-wp-202325817/photo-p-susan-bro-r-mother-photo-202325349.html,369947,67,text/html
https://www.yahoo.com/news/tornadoes-rip-iowa-slideshow-wp-160957630.html,337932,64,text/html
https://www.yahoo.com/news/papadopoulos-says-trump-personally-encouraged-arrange-meeting-putin-new-book-reports-010056370.html,367673,73,text/html
https://www.yahoo.com/news/investigators-circled-flynn-got-message-trump-stay-strong-145442727.html,382192,76,text/html
https://www.yahoo.com/news/fire-special-counsel-please-090020791.html,356818,77,text/html
https://www.yahoo.com/news/early-voting-ahead-election-day-slideshow-wp-205443762/photo-p-iva-woke-100-old-photo-205443887.html,372713,68,text/html
https://www.yahoo.com/news/early-voting-ahead-election-day-slideshow-wp-205443762/photo-p-man-arrives-early-voting-photo-205443306.html,371610,65,text/html
https://www.yahoo.com/news/trump-civil-war-one-not-worked-135135760.html,333490,80,text/html
https://www.yahoo.com/news/historians-react-trumps-civil-war-comments-thats-entirely-wrong-every-respect-181325014.html,346682,67,text/html
https://www.yahoo.com/news/trump-approaches-100-days-lowest-job-approval-rating-70-years-161126915.html,340696,74,text/html
https://www.yahoo.com/news/realdonaldtrumps-chaotic-first-100-days-office-102554643.html,366237,105,text/html
https://www.yahoo.com/news/trump-north-korea-sending-armada-144441920.html,340808,72,text/html
https://www.yahoo.com/news/trump-syria-gas-attack-big-impact-180550065.html,335750,71,text/html
https://www.yahoo.com/news/lindsey-graham-boards-trump-train-lengthy-feud-140302302.html,337683,75,text/html
https://www.yahoo.com/news/demonstrators-protest-outside-dnc-162902905.html,395698,63,text/html
https://www.yahoo.com/news/democratic-party-chair-lose-convention-role-wake-e-155214854.html?ref=gs,327093,64,text/html
https://www.yahoo.com/news/revisiting-assassination-jfk-last-files-slideshow-wp-113307277/photo-p-president-kennedy-shakes-hands-photo-113307360.html,391384,68,text/html
https://www.yahoo.com/news/look-back-slain-afp-photojournalist-slideshow-wp-175611193/photo-p-afghan-vendor-holds-sheep-photo-175611677.html,380209,68,text/html
https://www.yahoo.com/news/shah-marai-charismatic-courageous-afp-journalist-095006757.html,339621,58,text/html
https://www.yahoo.com/news/kim-jong-un-moon-jae-slideshow-wp-125418365.html,391024,64,text/html
https://www.yahoo.com/news/violence-poverty-politics-why-hondurans-slideshow-wp-171809832/photo-p-darwin-mourns-death-brother-photo-171809405.html,375831,66,text/html
https://www.yahoo.com/news/violence-poverty-politics-why-hondurans-slideshow-wp-171809832/photo-p-crime-scene-murder-two-photo-171809078.html,377040,69,text/html
https://www.yahoo.com/news/trump-2nd-amendment-people-could-000000517.html,328237,67,text/html
https://www.yahoo.com/news/shes-complicit-ivanka-trump-torched-by-scarjo-on-snl-170006866.html,324741,64,text/html
https://www.yahoo.com/news/republicans-condemn-kings-incendiary-comments-on-immigration-151828945.html,339988,73,text/html
https://www.yahoo.com/news/microwaves-that-turn-into-cameras-kellyanne-conway-defends-trump-claim-by-suggesting-wider-domestic-surveillance-140048040.html,349775,72,text/html
https://www.yahoo.com/news/at-bernie-sanders-west-virginia-town-hall-americas-opioid-crisis-goes-on-dark-display-175748762.html,342444,75,text/html
https://www.yahoo.com/news/resistance-report-a-prescription-for-trump-induced-anxiety-disorder-straight-from-hollywood-221440673.html,348658,77,text/html
